"b'\n                                In terms of sheer originality, ambition and achievement, Inception is the movie of the summer, the movie of the year and the movie of our dreams.\n                                    '",4
"b""\n                                If Inception is a metaphysical puzzle, it's also a metaphorical one: It's hard not to draw connections between Cobb's dream-weaving and Nolan's filmmaking -- an activity devoted to constructing a simulacrum of reality, intended to seduce us, mess with our heads and leave a lasting impression. Mission accomplished.\n                                    """,4
"b'\n                                With physics-defying, thunderous action, heart-wringing emotion and an astonishing performance from DiCaprio, Nolan delivers another true original: welcome to an undiscovered country.\n                                    '",4
b'\n                                Nolan blurs the distinction between dreams and reality so artfully that Inception may well be a masterpiece masquerading as a summer blockbuster.\n                                    ',4
"b'\n                                The visuals are stunning, perhaps the most fully realized of any film.\n                                    '",4
"b'\n                                Inception does a difficult thing. It is wholly original, cut from new cloth, and yet structured with action movie basics so it feels like it makes more sense than (quite possibly) it does.\n                                    '",4
"b'\n                                Inception is precisely the kind of brainy, ambitious, grand-scale adventure Hollywood should be making more of.\n                                    '",4
"b""\n                                When was the last time you had your mind blown by a movie? Because when Inception ends and the lights come up, you'll be sitting in your seat, staring at the screen, wondering what the hell just happened.\n                                    """,4
"b""\n                                A tremendously exciting science-fiction thriller that's as disturbing as it sounds. This is a popular entertainment with a knockout punch so intense and unnerving it'll have you worrying if it's safe to close your eyes at night.\n                                    """,4
"b'\n                                This is spellbinding, transporting, damn near indescribable and the latest indication that Christopher Nolan might be the slyest narrative tactician making movies today.\n                                    '",4
"b'\n                                This is a deeply felt work of art in the form of a big, brassy movie-movie.\n                                    '",4
"b'\n                                The film is an imposing, prismatic achievement, and strongly resistant to an insta-reaction; when it\xe2\x80\x99s over, Nolan still seems a few steps ahead of us.\n                                    '",4
"b'\n                                In a summer of remakes, reboots and sequels comes Inception, easily the most original movie idea in ages.\n                                    '",4
"b'\n                                In this wildly ingen\xc2\xadious chess game, grandmaster Nolan plants ideas in our heads that disturb and dazzle. The result is a knockout. But be warned: Inception dreams big. How cool is that?\n                                    '",4
"b""\n                                Here, finally, is something you've really never seen before.\n                                    """,4
"b""\n                                The film is easier to admire than to fully grasp or be moved by it. Still, it's worth surrendering to the dream.\n                                    """,4
"b'\n                                Inception is that rare film that can be enjoyed on superficial and progressively deeper levels, a feat that uncannily mimics the mind-bending journey its protagonist takes.\n                                    '",4
"b""\n                                The versatile actor brings the full weight of his talent to bear on a difficult role. DiCaprio has to hint at unpleasant secrets in Cobb's past while forging a bond with the audience. It's up to the performer to make Inception more about human beings than about special effects. He succeeds and that's one reason why this movie isn't only about challenging ideas and eye candy.\n                                    """,4
"b'\n                                Nolan\xe2\x80\x99s tale is not only a trip through mental labyrinths but a reminder that memories may cripple us, unless we learn to let them go.\n                                    '",4
"b'\n                                What Nolan has created with Inception is the rare movie that is bound to improve with repeated viewings, both as a means to drink in its brilliance one more time, and to see what sly clues might have flown under your radar the first time around.\n                                    '",4
"b'\n                                Inception is one of the best sci-fi movies of the new century, a mind-bender about dreams as public spaces.\n                                    '",4
"b""\n                                As engrossing and logic-resistant as the state of dreaming it seeks to replicate, Christopher Nolan's audacious new creation demands further study to fully absorb the multiple, simultaneous stories Nolan finagles into one narrative experience.\n                                    """,4
"b'\n                                A sensory and intellectual overload from start to finish, a brawny, brainy summer movie that may infuriate as many viewers as it enraptures.\n                                    '",4
"b'\n                                Inception, though, is no ""Avatar""--instead, it\xe2\x80\x99s the movie that many wanted ""Avatar"" to be. In a roaringly fast first hour, we\xe2\x80\x99re introduced to a new technology that allows for the bodily invasion of another person\xe2\x80\x99s dreamworld.\n                                    '",4
"b'\n                                Nolan\xe2\x80\x99s end-act pacing has always felt ponderous \xe2\x80\x93 but it\xe2\x80\x99s not enough to ruin what is surely the most intellectually and viscerally engaging action film in years. The soul doesn\xe2\x80\x99t stir, no, but everything else is wildly somersaulting.\n                                    '",3
"b'\n                                Inception is an elegant, portentous ride, though I\xe2\x80\x99m not sure Nolan is any closer to visualizing the real (dream) deal than Hitchcock was.\n                                    '",3
b'\n                                One of the best things about Nolan as a director is that he\xe2\x80\x99s not self-conscious. His movies unfold and fold in on themselves without the strain of labor or flash. But that lack of self-consciousness is also Nolan\xe2\x80\x99s downside.\n                                    ',3
"b""\n                                The film is Nolan's labyrinth all the way, and it's gratifying to experience a summer movie with large visual ambitions and with nothing more or less on its mind than (as Shakespeare said) a dream that hath no bottom.\n                                    """,3
"b'\n                                For movie buffs, the only real fun to be had at Inception could be toting up the lifts from other movies, including Cocteau\xe2\x80\x99s \xe2\x80\x9cBlood of a Poet\xe2\x80\x9d and \xe2\x80\x9cThe Matrix\xe2\x80\x9d series and just about anything by Kubrick.\n                                    '",3
"b'\n                                You can\xe2\x80\x99t feel for anyone when nothing feels real. Memo to Christopher Nolan for future outings: Kill the dream, tell a story.\n                                    '",3
"b""\n                                At the end of Inception, I hadn't lived through the grueling emotional journey Nolan seemed to think I had, but I'd seen a bunch of cool images and admired some technically ambitious feats of filmmaking.\n                                    """,3
"b'\n                                Stymied by a clunking script, crammed with expository exchanges and urgent blather.\n                                    '",3
"b'\n                                Christopher Nolan\'s ""Memento"" was a movie-lover\'s dream come true, a puzzle that was engaging both intellectually and emotionally. But his Inception is a wake-up call, a blaring reminder that cheap tricks can\'t compensate for personal investment.\n                                    '",3
"b'\n                                Though there is a lot to see in Inception, there is nothing that counts as genuine vision. Mr. Nolan\xe2\x80\x99s idea of the mind is too literal, too logical, too rule-bound to allow the full measure of madness -- the risk of real confusion, of delirium, of ineffable ambiguity -- that this subject requires.\n                                    '",3
"b'\n                                Inception delivers dazzling special effects and a boatload of stars, but it sags and eventually buckles under the weight of its complicated premise.\n                                    '",2
"b'\n                                Inception, is an astonishment, an engineering feat, and, finally, a folly.\n                                    '",2
"b'\n                                By convoluting the various planes of experience, by overlapping and obscuring ostensible realities and ostensible dreams, Mr. Nolan deprives us the opportunity of investing emotionally in any of it.\n                                    '",2
b'\n                                Inception manages to be clunky and confusing on four separate levels of reality.\n                                    ',2
"b'\n                                For the most part ""Inception"" is a handsome, clever and grindingly self-serious boy-movie, shorn of imagination, libido, spirituality or emotional depth. Nolan establishes a fascinating world, loaded with trapdoors, symbols and hidden secrets, and then squanders the opportunity on an overpriced ""Twilight Zone"" episode.\n                                    '",2
"b""\n                                It's obvious that Nolan either can't articulate or doesn't believe in a distinction between living feelings and dreams--and his barren Inception doesn't capture much of either.\n                                    """,1
"b'\n                                Everything he (Nolan) does is forced and overthought, and Inception, far from being his ticket into hall-of-fame greatness, is a very expensive-looking, elephantine film whose myriad so-called complexities -- of both the emotional and intellectual sort -- add up to a kind of ADD tedium.\n                                    '",1
"b""\n                                I'd like to tell you just how bad Inception really is, but since it is barely even remotely lucid, no sane description is possible.\n                                    """,1
